path,artist,author,title,description,date,medium,dimensions,institution,department,inscriptions,notes,accession_number,source,permission,categories
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Geophagus brasiliensis (Rio de Janeiro, Brazil, 19 July 1865)urn-3:FMUS.MCZ:2004-385722.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Geophagus brasiliensis (Rio de Janeiro, Brazil, 19 July 1865)",Taxonomic Classification: Animalia--Cichlidae--Geophagus brasiliensis (cf.). Common Name: Pearl cichlid,1865-07-19,watercolor on paper,18 x 26 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Famille des Chromides--Agassiz, Louis. Acara. Rio le 19 Juillet /65 J.B.--Burkhardt, Jacques",1 fish drawing (9 x 16 cm.),MH:MCZArtwork ARC_209-089,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-089 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Apistogramma agassizii (Lake January, Brazil, 28 October 1865)urn-3:FMUS.MCZ:2004-385724.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Apistogramma agassizii (Lake January, Brazil, 28 October 1865)",Taxonomic Classification: Animalia--Apistogramma agassizi (Steindachner 1875). Common Name: Agassiz's Dwarf Cichlid. Original Name: Coutinhoa gratiosa,,watercolor on paper,5 x 11 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],Lago de Hyannary 28 Oct. Coutinho. Nov. gen. Coutinhoa gratiosa.,1 fish drawing (3 x 6 cm.),MH:MCZArtwork ARC_209-091,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-091 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Laetacara thayeri plus man's portrait (Teffe, Brazil)urn-3:FMUS.MCZ:2004-385727.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Laetacara thayeri plus man's portrait (Teffe, Brazil)",Taxonomic Classification: Animalia--Cichlidae--Laetacara thayeri (Steindachner 1875). Common Name: Thayer's Acara. Original Name: Hybogramma,,pencil on paper,8 x 18 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Hybogramma. Il y en a une espece a Lago Hyannary--Agassiz, Louis. Teffe 6 8.--Burkhardt, Jacques",1 fish watercolor (3 x 5 cm.) and 1 pencil sketch of a man (5 x 4 cm.),MH:MCZArtwork ARC_209-094,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-094 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Hypselecara temporalis (Lake January, Brazil, 26 October 1865)urn-3:FMUS.MCZ:2004-385729.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Hypselecara temporalis (Lake January, Brazil, 26 October 1865)",Taxonomic Classification: Animalia--Cichlidae--Hypselecara temporalis (Günther 1862). Common Name: Emerald cichlid,1865-10-26,watercolor on paper,9 x 18 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Acara do iga - rope - Heros Lago de January, 26 Oct. 1865. Notogramma ?",1 fish drawing (8 x 11 cm.),MH:MCZArtwork ARC_209-096,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-096 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Laetacara? (Manaos, Brazil)urn-3:FMUS.MCZ:2004-385733.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Laetacara? (Manaos, Brazil)",Taxonomic Classification: Animalia--Cichlidae--Mesops--Laetacara?. Common Name: Cichlid,,watercolor on paper,5 x 10 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Mesops. Manaos 12 gt ---Agassiz, Louis",1 fish drawing (2 x 4 cm.),MH:MCZArtwork ARC_209-100,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-100 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Geophagus juv. (Manaos, Brazil, 20 November 1865)urn-3:FMUS.MCZ:2004-409328.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Geophagus juv. (Manaos, Brazil, 20 November 1865)",Taxonomic Classification: Animalia--Cichlidae--Geophagus juv.. Common Name: Cichlid,1865-11-20,watercolor on paper,7 x 10 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],Lago de Hyannary Manaos 20 Nov.,1 fish drawing (3 x 6 cm.),MH:MCZArtwork ARC_209-101,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-101 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Biotodoma cupido (Manaos, Brazil, 16 November 1865)urn-3:FMUS.MCZ:2004-409329.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Biotodoma cupido (Manaos, Brazil, 16 November 1865)",Taxonomic Classification: Animalia--Cichlidae--Biotodoma cupido. Common Name: Cupid cichlid,1865-11-16,watercolor on paper,5 x 9 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],Lago Hyannary Manaos 16 Nov. Mesops.,1 fish drawing (3 x 6 cm.),MH:MCZArtwork ARC_209-102,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-102 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Acarichthys heckelii (Manaos, Brazil, 17 November 1865)urn-3:FMUS.MCZ:2004-409330.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Acarichthys heckelii (Manaos, Brazil, 17 November 1865)",Taxonomic Classification: Animalia--Cichlidae--Acarichthys heckelii (Müller & Troschel 1849). Common Name: Thread-finned cichlid,1865-11-17,watercolor on paper,12 x 18 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],Manaos. 17 Nov.,1 fish drawing (5 x 8 cm.),MH:MCZArtwork ARC_209-103,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-103 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Acarichthys heckelii (Maues, Brazil, 19 December 1865)urn-3:FMUS.MCZ:2004-409333.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Acarichthys heckelii (Maues, Brazil, 19 December 1865)",Taxonomic Classification: Animalia--Cichlidae--Acarichthys heckelii (Müller & Troschel 1849).Taxonomic Classification: Animalia--Cichlidae--Acarichthys heckelii (Müller & Troschel 1849),1865-12-19,watercolor on paper,8 x 18 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Maues, 19 Dec. Maues, 19 Dec.",2 fish drawings (4 x 8 cm. and 3 x 8 cm.),MH:MCZArtwork ARC_209-106,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-106 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
"/Users/gregorymccollum/Desktop/Python/Harvard/WikiImages/Satanoperca jurupari (adult and juvenile) (Manaos and Teffe, Brazil)urn-3:FMUS.MCZ:2004-409335.jpg","[[wikidata:Q53499085|Burkhardt, Jacques]]","[[wikidata:Q53499085|Burkhardt, Jacques]]","Satanoperca jurupari (adult and juvenile) (Manaos and Teffe, Brazil)",Taxonomic Classification: Animalia--Cichlidae--Satanoperca jurupari (Heckel 1840). Common Name: Demon eartheater. Original Name: Acara,,watercolor on paper,6 x 18 cm.,[[wikidata:Q13371|Harvard University]],[[wikidata:Q53528757|Ernst Mayr Library]],"Acara Plerops? Peut - etre le jeune de [female symbol] Teffe 8 Octobre 257br - Teffe--Agassiz, Louis. Manaos. 6 Fbre. J.B.--Burkhardt, Jacques",2 fish drawings (4 x 8 cm. and 1 x 3 cm.),MH:MCZArtwork ARC_209-108,Harvard CURIOSity Collection - Jacques Burkhardt Scientific Drawings: http://id.lib.harvard.edu/curiosity/jacques-burkhardt-scientific-drawings/33-ARC_209-108 ,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information (URI: https://rightsstatements.org/page/NoC-US/1.0/?language=en)",Jacques Burkhardt Scientific Drawings
